,Count,Answer,Problem,Option,Rationale,Options,Correct Answer,Annotated Formula,Linear Formula,Category,extracted_answer
10,11,b,the population of a town is 8000 . it decreases annually at the rate of 20 % p . a . what will be its population after 3 years ?,"a ) 5100 , b ) 4096 , c ) 5200 , d ) 5400 , e ) 5500","""formula : ( after = 100 denominator ago = 100 numerator ) 8000 ã — 80 / 100 ã — 80 / 100 x 80 / 100 = 4096 answer : b""","a ) 5100 , b ) 4096 , c ) 5200 , d ) 5400 , e ) 5500",b,"subtract(subtract(8000, multiply(8000, divide(20, const_100))), multiply(subtract(8000, multiply(8000, divide(20, const_100))), divide(20, const_100)))","divide(n1,const_100)|multiply(n0,#0)|subtract(n0,#1)|multiply(#0,#2)|subtract(#2,#3)|",gain,b
11,12,"e
",the percentage profit earned by selling an article for rs . 1920 is equal to the percentage loss incurred by selling the same article for rs . 1280 . at what price should the article be sold to make 40 % profit ?,"a ) 2000 , b ) 2778 , c ) 2299 , d ) 2778 , e ) 2240","""let c . p . be rs . x . then , ( 1920 - x ) / x * 100 = ( x - 1280 ) / x * 100 1920 - x = x - 1280 2 x = 3200 = > x = 1600 required s . p . = 140 % of rs . 1600 = 140 / 100 * 1600 = rs . 2240 . answer : e""","a ) 2000 , b ) 2778 , c ) 2299 , d ) 2778 , e ) 2240",e,"multiply(divide(add(const_100, 40), const_100), divide(add(1920, 1280), const_2))","add(n2,const_100)|add(n0,n1)|divide(#0,const_100)|divide(#1,const_2)|multiply(#2,#3)|",gain,e
12,13,"b
","running at the same constant rate , 6 identical machines can produce a total of 360 bottles per minute . at this rate , how many bottles could 10 such machines produce in 4 minutes ?","a ) 648 , b ) 1800 , c ) 2400 , d ) 10800 , e ) 10900","""let the required number of bottles be x . more machines , more bottles ( direct proportion ) more minutes , more bottles ( direct proportion ) machines 6 : 10 : : 360 : x time ( in minutes ) 1 : 4 6 x 1 x x = 10 x 4 x 360 x = ( 10 x 4 x 360 ) / ( 6 ) x = 2400 . answer : c""","a ) 648 , b ) 1800 , c ) 2400 , d ) 10800 , e ) 10900",c,"multiply(multiply(divide(360, 6), 4), 10)","divide(n1,n0)|multiply(n3,#0)|multiply(n2,#1)|",gain,b
13,14,e,there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ?,"a ) 190 , b ) 191 , c ) 192 , d ) 193 , e ) 194",divide as ( 1 - 100 ) ( 100 - 200 ) . . . . ( 900 - 1000 ) total 192 answer : c,"a ) 190 , b ) 191 , c ) 192 , d ) 193 , e ) 194",c,"add(add(divide(1000, const_10), multiply(subtract(const_10, 1), const_10)), const_2)","divide(n0,const_10)|subtract(const_10,n1)|multiply(#1,const_10)|add(#0,#2)|add(#3,const_2)",general,e
14,15,"To calculate the rate of interest obtained by the man on his investment, we need to follow these steps:

1. **Determine the purchase price per share:**
   - Each share was bought at a discount of Rs. 5, so the cost per share is \( Rs. 50 - Rs. 5 = Rs. 45 \).

2. **Calculate the total amount spent:**
   - The man bought 20 shares, so the total amount spent is \( 20 \times Rs. 45 = Rs. 900 \).

3. **Determine the dividend received per share:**
   - The rate of dividend is 13%, which means for every Rs. 100 face value, the dividend is Rs. 13. Since each share has a face value of Rs. 50, the dividend per share is \( \frac{13}{100} \times Rs. 50 = Rs. 6.5 \).

4. **Calculate the total dividend received:**
   - For 20 shares, the total dividend received is \( 20 \times Rs. 6.5 = Rs. 130 \).

5. **Calculate the rate of interest obtained:**
   - The rate of interest is calculated as the total dividend received divided by the total amount spent, then multiplied by 100 to convert it into a percentage.
   \[
   \text{Rate of Interest} = \left( \frac{\text{Total Dividend Received}}{\text{Total Amount Spent}} \right) \times 100 = \left( \frac{Rs. 130}{Rs. 900} \right) \times 100
   \]
   Simplifying this gives:
   \[
   \text{Rate of Interest} = \left( \frac{130}{900} \right) \times 100 \approx 14.44\%
   \]

6. **Compare with the options provided:**
   - None of the options exactly match 14.44%. However, the closest option is **c) 15%**.

Therefore, the correct answer is **c) 15%**.","a man bought 20 shares of rs . 50 at 5 discount , the rate of dividend being 13 . the rate of interest obtained is :","a ) 27 % , b ) 87 % , c ) 15 % , d ) 66 % , e ) 88 %","""investment = rs . [ 20 x ( 50 - 5 ) ] = rs . 900 . face value = rs . ( 50 x 20 ) = rs . 1000 . dividend = rs . 27 x 1000 = rs . 135 . 2 100 interest obtained = 135 x 100 % = 15 % 900 view answer discuss in forum answer : c""","a ) 27 % , b ) 87 % , c ) 15 % , d ) 66 % , e ) 88 %",c,"divide(multiply(multiply(20, 50), divide(13, const_100)), multiply(20, subtract(50, 5)))","divide(n3,const_100)|multiply(n0,n1)|subtract(n1,n2)|multiply(#0,#1)|multiply(n0,#2)|divide(#3,#4)|",gain,c
15,16,"30
",? % of 360 = 108,"a ) 30 , b ) 36 , c ) 64 , d ) 72 , e ) none of these","""? % of 360 = 108 or , ? = 108 × 100 / 360 = 30 answer a""","a ) 30 , b ) 36 , c ) 64 , d ) 72 , e ) none of these",a,"divide(multiply(108, const_100), 360)","multiply(n1,const_100)|divide(#0,n0)|",gain,none
16,17,a,a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,"a ) 40 , b ) 36 , c ) 41 , d ) 42 , e ) 34","""speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b""","a ) 40 , b ) 36 , c ) 41 , d ) 42 , e ) 34",b,"divide(300, multiply(subtract(45, 150), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,a
17,18,"b) 242
",what is the sum of all digits for the number 10 ^ 29 - 41 ?,"a ) 257 , b ) 242 , c ) 231 , d ) 202 , e ) 187","""10 ^ 29 is a 30 - digit number : 1 followed by 29 zeros . 10 ^ 29 - 41 is a 29 - digit number : 27 9 ' s and 59 at the end . the sum of the digits is 27 * 9 + 5 + 9 = 257 . the answer is a .""","a ) 257 , b ) 242 , c ) 231 , d ) 202 , e ) 187",a,"multiply(add(divide(subtract(subtract(29, 10), const_2), const_2), 10), divide(add(subtract(29, 10), const_2), const_2))","subtract(n1,n0)|add(#0,const_2)|subtract(#0,const_2)|divide(#2,const_2)|divide(#1,const_2)|add(n0,#3)|multiply(#5,#4)|",general,b
18,19,600,a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,"a ) 560 , b ) 570 , c ) 580 , d ) 590 , e ) 600","""speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e""","a ) 560 , b ) 570 , c ) 580 , d ) 590 , e ) 600",e,"multiply(divide(multiply(120, const_1000), const_3600), 18)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,none
19,20,a,a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,"a ) 32 kmph , b ) 76 kmph , c ) 34 kmph , d ) 43 kmph , e ) 40 kmph","""s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a""","a ) 32 kmph , b ) 76 kmph , c ) 34 kmph , d ) 43 kmph , e ) 40 kmph",a,"divide(divide(add(100, 300), const_1000), divide(45, const_3600))","add(n0,n1)|divide(n2,const_3600)|divide(#0,const_1000)|divide(#2,#1)|",physics,a
20,21,"d
","each month a retailer sells 100 identical items . on each item he makes a profit of $ 40 that constitutes 10 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?","a ) 191 , b ) 213 , c ) 221 , d ) 223 , e ) 226","""for this question , we ' ll need the following formula : sell price = cost + profit we ' re told that the profit on 1 item is $ 20 and that this represents 10 % of the cost : sell price = cost + $ 40 sell price = $ 400 + $ 40 thus , the sell price is $ 440 for each item . selling all 100 items gives the retailer . . . 100 ( $ 40 ) = $ 2,000 of profit if the retailer offers a 5 % discount on the sell price , then the equation changes . . . 5 % ( 440 ) = $ 22 discount $ 418 = $ 400 + $ 18 now , the retailer makes a profit of just $ 18 per item sold . to earn $ 2,000 in profit , the retailer must sell . . . . $ 18 ( x ) = $ 2,000 x = 2,000 / 18 x = 222.222222 items you ' ll notice that this is not among the answer choices . . . . 221 and 223 are . selling 221 items would get us 9 ( 221 ) = $ 1989 which is not enough money . to get back to at least $ 2,000 , we need to sell 223 items . final answer : d""","a ) 191 , b ) 213 , c ) 221 , d ) 223 , e ) 226",d,"divide(multiply(100, 40), subtract(40, divide(multiply(add(divide(multiply(100, 40), 10), 40), 5), 100)))","multiply(n0,n1)|divide(#0,n2)|add(n1,#1)|multiply(n3,#2)|divide(#3,n0)|subtract(n1,#4)|divide(#0,#5)|",gain,d
21,22,d,"the average age of 15 students of a class is 14 years . out of these , the average age of 5 students is 14 years and that of the other 9 students is 16 years . tee age of the 15 th student is ?","a ) 3 years , b ) 4 years , c ) 5 years , d ) 6 years , e ) 7 years","""age of the 15 th student = [ 15 * 14 - ( 14 * 5 + 16 * 9 ) ] = ( 210 - 214 ) = 4 years . answer : b""","a ) 3 years , b ) 4 years , c ) 5 years , d ) 6 years , e ) 7 years",b,"subtract(multiply(15, 15), add(multiply(5, 14), multiply(9, 16)))","multiply(n0,n0)|multiply(n2,n3)|multiply(n4,n5)|add(#1,#2)|subtract(#0,#3)|",general,d
22,23,2,"bookman purchased 55 copies of a new book released recently , 10 of which are hardback and sold for $ 20 each , and rest are paperback and sold for $ 10 each . if 14 copies were sold and the total value of the remaining books was 460 , how many paperback copies were sold ?","a ) 10 , b ) 11 , c ) 12 , d ) 13 , e ) 9","""the bookman had 10 hardback ad 55 - 10 = 45 paperback copies ; 14 copies were sold , hence 55 - 14 = 41 copies were left . let # of paperback copies left be p then 10 p + 20 ( 41 - p ) = 460 - - > 10 p = 360 - - > p = 36 # of paperback copies sold is 45 - 36 = 9 answer : e""","a ) 10 , b ) 11 , c ) 12 , d ) 13 , e ) 9",e,"divide(subtract(subtract(add(multiply(subtract(55, 10), 10), multiply(10, 20)), 460), multiply(gcd(55, 10), 20)), 10)","gcd(n0,n1)|multiply(n1,n2)|subtract(n0,n1)|multiply(n1,#2)|multiply(n2,#0)|add(#3,#1)|subtract(#5,n5)|subtract(#6,#4)|divide(#7,n1)|",general,none
23,24,b,diana is painting statues . she has 1 / 2 of a gallon of paint remaining . each statue requires 1 / 16 gallon of paint . how many statues can she paint ?,"a ) 8 , b ) 20 , c ) 28 , d ) 14 , e ) 19","""number of statues = all the paint ÷ amount used per statue = 1 / 2 ÷ 1 / 16 = 8 / 16 * 16 / 1 = 8 / 1 = 8 answer is a .""","a ) 8 , b ) 20 , c ) 28 , d ) 14 , e ) 19",a,"divide(divide(1, 2), divide(1, 16))","divide(n0,n1)|divide(n2,n3)|divide(#0,#1)|",general,b
24,25,d,"if the price of gasoline increases by 25 % and a driver intends to spend only 20 % more on gasoline , by how much percent should the driver reduce the quantity of gasoline that he buys ?","a ) 2 % , b ) 3 % , c ) 4 % , d ) 5 % , e ) 6 %","""let x be the amount of gasoline the driver buys originally . let y be the new amount of gasoline the driver should buy . let p be the original price per liter . ( 1.25 * p ) y = 1.2 ( p * x ) y = ( 1.2 / 1.25 ) x = 0.96 x which is a reduction of 4 % . the answer is c .""","a ) 2 % , b ) 3 % , c ) 4 % , d ) 5 % , e ) 6 %",c,"multiply(divide(subtract(add(25, const_100), add(20, const_100)), add(25, const_100)), const_100)","add(n0,const_100)|add(n1,const_100)|subtract(#0,#1)|divide(#2,#0)|multiply(#3,const_100)|",general,d
25,26,d) 640,"an art gallery has only paintings and sculptures . currently , 1 / 3 of the pieces of art are displayed , and 1 / 6 of the pieces on display are sculptures . if 1 / 3 of the pieces not on display are paintings , and 1000 sculptures are not on display , how many pieces of art does the gallery have ?","a ) 360 , b ) 2250 , c ) 540 , d ) 640 , e ) 720","too many words and redundant info there . ( i ) 1 / 3 of the pieces of art are displayed , hence 2 / 3 of the pieces of art are not displayed . ( ii ) 1 / 6 of the pieces on display are sculptures , hence 5 / 6 of the pieces on display are paintings . ( iii ) 1 / 3 of the pieces not on display are paintings , hence 2 / 3 of the pieces not on display are sculptures . 1000 sculptures are not on display , so according to ( iii ) 2 / 3 * { not on display } = 1000 - - > { not on display } = 1500 . according to ( i ) 2 / 3 * { total } = 1500 - - > { total } = 2250 . answer : b .","a ) 360 , b ) 2250 , c ) 540 , d ) 640 , e ) 720",b,"divide(divide(1000, subtract(const_1, divide(1, 3))), subtract(const_1, divide(1, 3)))","divide(n0,n1)|subtract(const_1,#0)|divide(n6,#1)|divide(#2,#1)",general,d
26,27,b,"john and ingrid pay 30 % and 40 % tax annually , respectively . if john makes $ 60000 and ingrid makes $ 72000 , what is their combined tax rate ?","a ) 32 % , b ) 34.4 % , c ) 35 % , d ) 35.6 % , e ) 36.4 %","""( 1 ) when 30 and 40 has equal weight or weight = 1 / 2 , the answer would be 35 . ( 2 ) when 40 has larger weight than 30 , the answer would be in between 35 and 40 . unfortunately , we have 2 answer choices d and e that fit that condition so we need to narrow down our range . ( 3 ) get 72000 / 132000 = 6 / 11 . 6 / 11 is a little above 6 / 12 = 1 / 2 . thus , our answer is just a little above 35 . answer : d""","a ) 32 % , b ) 34.4 % , c ) 35 % , d ) 35.6 % , e ) 36.4 %",d,"multiply(divide(add(multiply(divide(30, const_100), 60000), multiply(divide(40, const_100), 72000)), add(72000, 60000)), const_100)","add(n2,n3)|divide(n0,const_100)|divide(n1,const_100)|multiply(n2,#1)|multiply(n3,#2)|add(#3,#4)|divide(#5,#0)|multiply(#6,const_100)|",gain,b
27,28,d,the lenght of a room is 5.5 m and width is 4 m . find the cost of paving the floor by slabs at the rate of rs . 900 per sq . metre .,"a ) s . 19,800 , b ) s . 15,600 , c ) s . 16,500 , d ) s . 17,600 , e ) s . 17,900","""area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a""","a ) s . 19,800 , b ) s . 15,600 , c ) s . 16,500 , d ) s . 17,600 , e ) s . 17,900",a,"multiply(900, multiply(5.5, 4))","multiply(n0,n1)|multiply(n2,#0)|",physics,d
28,31,c) 45,a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ?,"a ) 50 , b ) 60 , c ) 45 , d ) 35 , e ) 48","""( a + b ) work in 1 day = 1 / 20 , ( b + c ) work in 1 days = 1 / 15 . , ( c + a ) work in 1 days = 1 / 12 ( 1 ) adding = 2 [ a + b + c ] in 1 day work = [ 1 / 20 + 1 / 15 + 1 / 12 ] = 1 / 5 ( a + b + c ) work in 1 day = 1 / 10 b work in 1 days = [ a + b + c ] work in 1 days - work of ( a + c ) in 1 days = [ 1 / 10 - 1 / 12 ] = 1 / 60 b alone finish work in 60 days answer b""","a ) 50 , b ) 60 , c ) 45 , d ) 35 , e ) 48",b,"inverse(divide(add(inverse(12), add(inverse(20), inverse(15))), const_2))","inverse(n0)|inverse(n1)|inverse(n2)|add(#0,#1)|add(#3,#2)|divide(#4,const_2)|inverse(#5)|",physics,c
29,32,"3,4,5","two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?","a ) 10.11 , b ) 8.11 , c ) 77.2 , d ) 13.15 , e ) 22.22","""rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d""","a ) 10.11 , b ) 8.11 , c ) 77.2 , d ) 13.15 , e ) 22.22",d,"multiply(multiply(multiply(const_0_2778, subtract(60, 16)), 50), inverse(multiply(const_0_2778, add(60, 16))))","add(n0,n1)|subtract(n0,n1)|multiply(#0,const_0_2778)|multiply(#1,const_0_2778)|inverse(#2)|multiply(n2,#3)|multiply(#4,#5)|",physics,none
30,33,b,calculate the ratio between x and y if 30 % of x equal to 50 % of y ?,"a ) 4 : 5 , b ) 3 : 5 , c ) 3 : 7 , d ) 3 : 2 , e ) 4 : 5","""explanation : 30 x = 50 y x : y = 30 : 50 = 3 : 5 answer : b""","a ) 4 : 5 , b ) 3 : 5 , c ) 3 : 7 , d ) 3 : 2 , e ) 4 : 5",b,"divide(30, 50)","divide(n0,n1)|",general,b
31,34,"To solve this problem, we need to consider the principles of Venn diagrams and set theory.

Let's denote the areas covered by exactly 1, 2, and 3 layers of wallpaper as A, B, and C, respectively.

We know that the total area covered by 3 walls is 300 sq. m.

Given the overlapping areas for two layers, we have:
B = 34 sq. m.

The area covered by exactly two layers includes both B and the overlapping part of A and C. Since these three regions form a partition, we can write an equation using the principle of inclusion-exclusion:

A + 2B + 3C = 300

Since we're looking for the area with three layers of wallpaper (C), we should isolate it. To do so, we subtract the known values:

A + 2 * 34 + 3C = 300
A + 68 + 3C = 300

Now let's find the value of A using the information given. We know that the area with one layer is the sum of the areas with one, two, and three layers minus the overlap areas:

A = 300 - B - C

Using the values we have:

A = 300 - 34 - C
A = 266 - C

Now we can substitute A back into our earlier equation:

266 - C + 68 + 3C = 300

Combining like terms:

2 * C = 66

Dividing by 2:

C = 33

So, the area covered by three layers of wallpaper is 33 sq. m.

The closest option is c) 42 square meters, but since our calculation gives 33 sq. m., there might be a discrepancy. However, considering the closest option and the constraints of the given choices, the answer would be c) 42 square meters.","three walls have wallpaper covering a combined area of 300 square meters . by overlapping the wallpaper to cover a wall with an area of 180 square meters , the area that is covered by exactly two layers of wallpaper is 34 square meters . what is the area that is covered with three layers of wallpaper ?","a ) 43 square meters , b ) 36 square meters , c ) 42 square meters , d ) 83.3 square meters , e ) 120 square meters","""300 - 180 = 120 sq m of the wallpaper overlaps ( in either two layers or three layers ) if 36 sq m has two layers , 120 - 34 = 86 sq m of the wallpaper overlaps in three layers . 86 sq m makes two extra layers hence the area over which it makes two extra layers is 43 sq m . answer ( a ) .""","a ) 43 square meters , b ) 36 square meters , c ) 42 square meters , d ) 83.3 square meters , e ) 120 square meters",a,"divide(subtract(subtract(300, 180), 34), const_2)","subtract(n0,n1)|subtract(#0,n2)|divide(#1,const_2)|",geometry,c
32,35,15,"a meeting has to be conducted with 6 managers . find the number of ways in which the managers may be selected from among 9 managers , if there are 2 managers who refuse to attend the meeting together .","a ) 36 , b ) 40 , c ) 42 , d ) 45 , e ) 49","""the total number of ways to choose 6 managers is 9 c 6 = 84 we need to subtract the number of groups which include the two managers , which is 7 c 4 = 35 . 84 - 35 = 49 the answer is e .""","a ) 36 , b ) 40 , c ) 42 , d ) 45 , e ) 49",e,"subtract(choose(9, 6), choose(subtract(9, 2), 2))","choose(n1,n0)|subtract(n1,n2)|choose(#1,n2)|subtract(#0,#2)|",probability,none
33,36,a,a trader bought a car at 20 % discount on its original price . he sold it at a 40 % increase on the price he bought it . what percent of profit did he make on the original price ?,"a ) 82 % , b ) 52 % , c ) 12 % , d ) 19 % , e ) 22 %","""original price = 100 cp = 80 s = 80 * ( 140 / 100 ) = 112 100 - 112 = 12 % answer : c""","a ) 82 % , b ) 52 % , c ) 12 % , d ) 19 % , e ) 22 %",c,"multiply(subtract(divide(divide(multiply(subtract(const_100, 20), add(const_100, 40)), const_100), const_100), const_1), const_100)","add(n1,const_100)|subtract(const_100,n0)|multiply(#0,#1)|divide(#2,const_100)|divide(#3,const_100)|subtract(#4,const_1)|multiply(#5,const_100)|",gain,a
34,37,"a
",what is the unit digit in the product ( 3 ^ 65 x 6 ^ 59 x 7 ^ 71 ) ?,"a ) 18 , b ) 12 , c ) 69 , d ) 32 , e ) 4",explanation : unit digit in 3 ^ 4 = 1 unit digit in ( 3 ^ 4 ) 16 = 1 unit digit in 3 ^ 65 = unit digit in [ ( 3 ^ 4 ) 16 x 3 ] = ( 1 x 3 ) = 3 unit digit in 6 ^ 59 = 6 unit digit in 7 ^ 4 unit digit in ( 7 ^ 4 ) 17 is 1 . unit digit in 7 ^ 71 = unit digit in [ ( 7 ^ 4 ) 17 x 73 ] = ( 1 x 3 ) = 3 required digit = unit digit in ( 3 x 6 x 3 ) = 4 e,"a ) 18 , b ) 12 , c ) 69 , d ) 32 , e ) 4",e,"subtract(multiply(multiply(3, 6), 3), subtract(multiply(multiply(3, 6), 3), const_4))","multiply(n0,n2)|multiply(n0,#0)|subtract(#1,const_4)|subtract(#1,#2)",general,a
35,38,d) 7 kmph,"a start walking from a place at a uniform speed of 6 kmph in a particular direction . after half an hour , b starts from the same place and walks in the same direction as a at a uniform speed and overtakes a after 1 hour 48 minutes . find the speed of b .","a ) 4.7 kmph , b ) 6.6 kmph , c ) 4 kmph , d ) 7 kmph , e ) 5.3 kmph","""distance covered by a in 30 min = 1 km b covers extra 1 km in 1 hour 48 minutes ( 9 / 5 hr ) i . e . relative speed of b over a = 1 / ( 9 / 5 ) = 5 / 9 so the speed of b = speed of a + 5 / 9 = 6 + 5 / 9 = 6.55 answer b""","a ) 4.7 kmph , b ) 6.6 kmph , c ) 4 kmph , d ) 7 kmph , e ) 5.3 kmph",b,"add(divide(1, divide(add(const_60, 48), const_60)), 6)","add(n2,const_60)|divide(#0,const_60)|divide(n1,#1)|add(n0,#2)|",physics,d
